                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70593,                 0.6087,                      1,                0.64436,             0.00023233,             0.00023233,             0.00023233
                      2,                0.61517,                0.66304,                      1,                0.60925,             0.00043452,             0.00043452,             0.00043452
                      3,                0.56734,                0.70652,                      1,                0.58918,             0.00060045,             0.00060045,             0.00060045
                      4,                0.58035,                0.69565,                      1,                0.58031,             0.00055088,             0.00055088,             0.00055088
                      5,                0.58382,                0.70109,                      1,                0.57062,             0.00055088,             0.00055088,             0.00055088
                      6,                0.53347,                0.70109,                      1,                0.57728,              0.0004965,              0.0004965,              0.0004965
                      7,                0.50009,                0.67935,                      1,                0.56964,             0.00044213,             0.00044213,             0.00044213
                      8,                0.48033,                   0.75,                      1,                0.57058,             0.00038776,             0.00038776,             0.00038776
                      9,                0.50362,                0.71739,                      1,                0.55811,             0.00033338,             0.00033338,             0.00033338
                     10,                0.44814,                0.74457,                      1,                 0.5576,             0.00027901,             0.00027901,             0.00027901
                     11,                0.45507,                   0.75,                      1,                0.54945,             0.00022464,             0.00022464,             0.00022464
                     12,                0.41925,                0.72826,                      1,                0.54167,             0.00017026,             0.00017026,             0.00017026
                     13,                0.45965,                0.73913,                      1,                0.55195,             0.00011589,             0.00011589,             0.00011589
