                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70593,                0.61932,                      1,                 0.6373,             0.00023233,             0.00023233,             0.00023233
                      2,                0.61517,                0.67045,                      1,                0.60849,             0.00043452,             0.00043452,             0.00043452
                      3,                0.56734,                0.71591,                      1,                0.58652,             0.00060045,             0.00060045,             0.00060045
                      4,                0.58035,                0.69886,                      1,                0.57499,             0.00055088,             0.00055088,             0.00055088
                      5,                0.58382,                0.70455,                      1,                0.56963,             0.00055088,             0.00055088,             0.00055088
                      6,                0.53347,                0.69886,                      1,                0.58012,              0.0004965,              0.0004965,              0.0004965
                      7,                0.50009,                0.67614,                      1,                0.56959,             0.00044213,             0.00044213,             0.00044213
                      8,                0.48033,                0.73864,                      1,                0.56237,             0.00038776,             0.00038776,             0.00038776
                      9,                0.50362,                0.70455,                      1,                0.56023,             0.00033338,             0.00033338,             0.00033338
                     10,                0.44814,                0.73295,                      1,                0.57095,             0.00027901,             0.00027901,             0.00027901
                     11,                0.45507,                0.73864,                      1,                0.55027,             0.00022464,             0.00022464,             0.00022464
                     12,                0.41925,                0.71591,                      1,                0.55306,             0.00017026,             0.00017026,             0.00017026
                     13,                0.45965,                0.72727,                      1,                0.55411,             0.00011589,             0.00011589,             0.00011589
