                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70593,                0.58852,                      1,                0.65749,             0.00023233,             0.00023233,             0.00023233
                      2,                0.61517,                0.68421,                      1,                0.60445,             0.00043452,             0.00043452,             0.00043452
                      3,                0.56734,                 0.7177,                      1,                 0.5855,             0.00060045,             0.00060045,             0.00060045
                      4,                0.58035,                0.72727,                      1,                0.56707,             0.00055088,             0.00055088,             0.00055088
                      5,                0.58382,                0.75598,                      1,                0.54322,             0.00055088,             0.00055088,             0.00055088
                      6,                0.53347,                0.75598,                      1,                0.54543,              0.0004965,              0.0004965,              0.0004965
                      7,                0.50009,                0.74163,                      1,                0.53914,             0.00044213,             0.00044213,             0.00044213
                      8,                0.48033,                0.80861,                      1,                0.53763,             0.00038776,             0.00038776,             0.00038776
                      9,                0.50362,                 0.7799,                      1,                0.53089,             0.00033338,             0.00033338,             0.00033338
                     10,                0.44814,                0.80861,                      1,                0.52702,             0.00027901,             0.00027901,             0.00027901
                     11,                0.45507,                0.80383,                      1,                 0.5146,             0.00022464,             0.00022464,             0.00022464
                     12,                0.41925,                0.79426,                      1,                0.51664,             0.00017026,             0.00017026,             0.00017026
                     13,                0.45965,                0.80383,                      1,                0.52293,             0.00011589,             0.00011589,             0.00011589
