                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74281,                 0.6236,                      1,                0.64921,             0.00023233,             0.00023233,             0.00023233
                      2,                0.63365,                0.66292,                      1,                0.60433,             0.00043452,             0.00043452,             0.00043452
                      3,                0.62267,                0.65169,                      1,                0.59717,             0.00060045,             0.00060045,             0.00060045
                      4,                 0.5756,                0.68539,                      1,                0.59784,             0.00055088,             0.00055088,             0.00055088
                      5,                0.57458,                0.69663,                      1,                 0.5903,             0.00055088,             0.00055088,             0.00055088
                      6,                0.52682,                0.69101,                      1,                0.58742,              0.0004965,              0.0004965,              0.0004965
                      7,                0.51922,                0.65169,                      1,                0.59175,             0.00044213,             0.00044213,             0.00044213
                      8,                0.48933,                0.68539,                      1,                0.57244,             0.00038776,             0.00038776,             0.00038776
                      9,                 0.4972,                0.71348,                      1,                0.57495,             0.00033338,             0.00033338,             0.00033338
                     10,                0.47545,                0.70225,                      1,                0.56155,             0.00027901,             0.00027901,             0.00027901
                     11,                0.47784,                0.74157,                      1,                0.56699,             0.00022464,             0.00022464,             0.00022464
                     12,                0.49004,                0.71348,                      1,                0.56458,             0.00017026,             0.00017026,             0.00017026
                     13,                 0.4575,                0.74719,                      1,                 0.5652,             0.00011589,             0.00011589,             0.00011589
